# Great Lakes Migrant Waterfowl Survey (ECCC / Canadian Wildlife Service).
# Source: https://open.canada.ca/data/en/dataset/b188cade-c51a-406a-ac43-8103622cc389
# Aerial shoreline/nearshore counts, Ontario. Ducks only, TEAL EXCLUDED to match
# the rest of the anchor cloud; geese, swans, coot, cormorants and the SURV
# survey-placeholder rows are dropped.
# Sectors are grouped into clusters by coordinate box; lat/lng is the cluster
# centroid from the GLMWS_Sectors geodatabase layer (EPSG:4269).
# 'sectors' = how many sectors were flown that date (survey effort).
cluster,flyway,latitude,longitude,survey_date,sectors,ducks_teal_excluded
Kingston Basin ON,Atlantic,44.194,-76.506,1986-11-14,5,23758
Kingston Basin ON,Atlantic,44.194,-76.506,1986-11-20,12,19229
Kingston Basin ON,Atlantic,44.194,-76.506,1986-11-28,5,10543
Kingston Basin ON,Atlantic,44.194,-76.506,1986-12-08,4,1833
Kingston Basin ON,Atlantic,44.194,-76.506,1986-12-17,7,6341
Kingston Basin ON,Atlantic,44.194,-76.506,1987-01-13,12,9171
Kingston Basin ON,Atlantic,44.194,-76.506,1987-11-04,3,497
Kingston Basin ON,Atlantic,44.194,-76.506,1987-11-05,9,21182
Kingston Basin ON,Atlantic,44.194,-76.506,1988-01-07,12,4733
Kingston Basin ON,Atlantic,44.194,-76.506,1988-10-19,2,891
Kingston Basin ON,Atlantic,44.194,-76.506,1988-11-03,10,28194
Kingston Basin ON,Atlantic,44.194,-76.506,1988-11-04,2,87
Kingston Basin ON,Atlantic,44.194,-76.506,1988-11-18,8,5953
Kingston Basin ON,Atlantic,44.194,-76.506,1988-12-14,6,3811
Kingston Basin ON,Atlantic,44.194,-76.506,1989-01-03,9,3146
Kingston Basin ON,Atlantic,44.194,-76.506,1989-10-24,8,38782
Kingston Basin ON,Atlantic,44.194,-76.506,1989-11-07,10,24522
Kingston Basin ON,Atlantic,44.194,-76.506,1989-11-08,2,337
Kingston Basin ON,Atlantic,44.194,-76.506,1989-11-17,7,21847
Kingston Basin ON,Atlantic,44.194,-76.506,1989-12-15,7,2395
Kingston Basin ON,Atlantic,44.194,-76.506,1990-01-03,4,460
Kingston Basin ON,Atlantic,44.194,-76.506,1990-11-07,11,47049
Kingston Basin ON,Atlantic,44.194,-76.506,1990-11-08,1,77
Kingston Basin ON,Atlantic,44.194,-76.506,1990-11-15,8,17542
Kingston Basin ON,Atlantic,44.194,-76.506,1990-12-13,6,2251
Kingston Basin ON,Atlantic,44.194,-76.506,1991-01-02,4,728
Kingston Basin ON,Atlantic,44.194,-76.506,1991-01-03,7,3277
Kingston Basin ON,Atlantic,44.194,-76.506,1991-11-04,11,23723
Kingston Basin ON,Atlantic,44.194,-76.506,1991-11-05,1,821
Kingston Basin ON,Atlantic,44.194,-76.506,1991-11-14,11,25659
Kingston Basin ON,Atlantic,44.194,-76.506,1991-12-11,10,2028
Kingston Basin ON,Atlantic,44.194,-76.506,1992-01-08,10,4017
Kingston Basin ON,Atlantic,44.194,-76.506,1992-01-09,1,17
Kingston Basin ON,Atlantic,44.194,-76.506,1992-11-04,8,18231
Kingston Basin ON,Atlantic,44.194,-76.506,1992-11-05,4,1207
Kingston Basin ON,Atlantic,44.194,-76.506,1992-11-24,10,7360
Kingston Basin ON,Atlantic,44.194,-76.506,1992-12-15,8,1272
Kingston Basin ON,Atlantic,44.194,-76.506,1993-01-05,4,595
Kingston Basin ON,Atlantic,44.194,-76.506,1993-01-06,8,3823
Kingston Basin ON,Atlantic,44.194,-76.506,1993-11-04,12,22573
Kingston Basin ON,Atlantic,44.194,-76.506,1993-11-16,12,21590
Kingston Basin ON,Atlantic,44.194,-76.506,1993-11-17,1,4
Kingston Basin ON,Atlantic,44.194,-76.506,1993-12-15,10,1219
Kingston Basin ON,Atlantic,44.194,-76.506,1993-12-16,1,31
Kingston Basin ON,Atlantic,44.194,-76.506,1994-01-05,6,1672
Kingston Basin ON,Atlantic,44.194,-76.506,1994-01-06,1,70
Kingston Basin ON,Atlantic,44.194,-76.506,1994-11-03,12,20342
Kingston Basin ON,Atlantic,44.194,-76.506,1994-11-04,1,0
Kingston Basin ON,Atlantic,44.194,-76.506,1994-11-15,12,15651
Kingston Basin ON,Atlantic,44.194,-76.506,1994-11-16,1,22
Kingston Basin ON,Atlantic,44.194,-76.506,1994-12-14,12,2849
Kingston Basin ON,Atlantic,44.194,-76.506,1995-01-09,10,3761
Kingston Basin ON,Atlantic,44.194,-76.506,1995-01-10,1,127
Kingston Basin ON,Atlantic,44.194,-76.506,1995-10-25,13,19672
Kingston Basin ON,Atlantic,44.194,-76.506,1995-11-06,2,822
Kingston Basin ON,Atlantic,44.194,-76.506,1995-11-09,12,29093
Kingston Basin ON,Atlantic,44.194,-76.506,1995-11-22,11,26216
Kingston Basin ON,Atlantic,44.194,-76.506,1995-12-12,4,1248
Kingston Basin ON,Atlantic,44.194,-76.506,1995-12-13,9,5780
Kingston Basin ON,Atlantic,44.194,-76.506,1996-01-05,4,445
Kingston Basin ON,Atlantic,44.194,-76.506,1996-11-04,9,1978
Kingston Basin ON,Atlantic,44.194,-76.506,1996-11-05,11,30002
Kingston Basin ON,Atlantic,44.194,-76.506,1996-12-09,12,9150
Kingston Basin ON,Atlantic,44.194,-76.506,1996-12-10,1,38
Kingston Basin ON,Atlantic,44.194,-76.506,1997-01-07,7,7236
Kingston Basin ON,Atlantic,44.194,-76.506,1997-01-08,5,1175
Kingston Basin ON,Atlantic,44.194,-76.506,1997-11-05,13,29634
Kingston Basin ON,Atlantic,44.194,-76.506,1997-12-08,13,4662
Kingston Basin ON,Atlantic,44.194,-76.506,1998-01-21,8,4896
Kingston Basin ON,Atlantic,44.194,-76.506,1998-11-04,3,981
Kingston Basin ON,Atlantic,44.194,-76.506,1998-11-05,10,16183
Kingston Basin ON,Atlantic,44.194,-76.506,1998-12-15,10,17255
Kingston Basin ON,Atlantic,44.194,-76.506,1998-12-16,5,3241
Kingston Basin ON,Atlantic,44.194,-76.506,1999-01-07,11,10392
Kingston Basin ON,Atlantic,44.194,-76.506,1999-09-13,13,4361
Kingston Basin ON,Atlantic,44.194,-76.506,1999-09-22,5,1428
Kingston Basin ON,Atlantic,44.194,-76.506,1999-09-23,9,5962
Kingston Basin ON,Atlantic,44.194,-76.506,1999-10-07,9,16589
Kingston Basin ON,Atlantic,44.194,-76.506,1999-10-08,5,2899
Kingston Basin ON,Atlantic,44.194,-76.506,1999-10-18,13,36116
Kingston Basin ON,Atlantic,44.194,-76.506,1999-10-19,1,39
Kingston Basin ON,Atlantic,44.194,-76.506,1999-11-03,1,293
Kingston Basin ON,Atlantic,44.194,-76.506,1999-11-04,8,4184
Kingston Basin ON,Atlantic,44.194,-76.506,1999-11-08,6,35184
Kingston Basin ON,Atlantic,44.194,-76.506,1999-11-17,13,23149
Kingston Basin ON,Atlantic,44.194,-76.506,1999-11-18,1,184
Kingston Basin ON,Atlantic,44.194,-76.506,1999-12-01,13,26752
Kingston Basin ON,Atlantic,44.194,-76.506,1999-12-17,13,14036
Kingston Basin ON,Atlantic,44.194,-76.506,2000-01-05,13,18020
Kingston Basin ON,Atlantic,44.194,-76.506,2000-11-07,9,28326
Kingston Basin ON,Atlantic,44.194,-76.506,2000-11-08,5,2780
Kingston Basin ON,Atlantic,44.194,-76.506,2001-01-09,11,3504
Kingston Basin ON,Atlantic,44.194,-76.506,2001-11-05,11,2933
Kingston Basin ON,Atlantic,44.194,-76.506,2001-11-06,3,16606
Kingston Basin ON,Atlantic,44.194,-76.506,2002-01-07,11,19542
Kingston Basin ON,Atlantic,44.194,-76.506,2002-10-29,12,33410
Kingston Basin ON,Atlantic,44.194,-76.506,2002-10-30,2,883
Kingston Basin ON,Atlantic,44.194,-76.506,2003-01-07,11,14446
Kingston Basin ON,Atlantic,44.194,-76.506,2003-11-06,12,38011
Kingston Basin ON,Atlantic,44.194,-76.506,2004-01-06,3,3249
Kingston Basin ON,Atlantic,44.194,-76.506,2004-01-07,9,12675
Kingston Basin ON,Atlantic,44.194,-76.506,2009-09-08,4,155
Kingston Basin ON,Atlantic,44.194,-76.506,2009-09-09,8,1054
Kingston Basin ON,Atlantic,44.194,-76.506,2009-09-24,8,448
Kingston Basin ON,Atlantic,44.194,-76.506,2009-09-25,5,3861
Kingston Basin ON,Atlantic,44.194,-76.506,2009-10-06,4,1339
Kingston Basin ON,Atlantic,44.194,-76.506,2009-10-08,8,26393
Kingston Basin ON,Atlantic,44.194,-76.506,2009-10-19,8,4927
Kingston Basin ON,Atlantic,44.194,-76.506,2009-10-26,5,28123
Kingston Basin ON,Atlantic,44.194,-76.506,2009-11-03,8,14431
Kingston Basin ON,Atlantic,44.194,-76.506,2009-11-04,5,29290
Kingston Basin ON,Atlantic,44.194,-76.506,2009-11-17,8,4224
Kingston Basin ON,Atlantic,44.194,-76.506,2009-11-18,5,23123
Kingston Basin ON,Atlantic,44.194,-76.506,2009-12-02,11,24319
Kingston Basin ON,Atlantic,44.194,-76.506,2009-12-04,2,406
Kingston Basin ON,Atlantic,44.194,-76.506,2009-12-16,13,13334
Lake St. Francis ON,Atlantic,45.056,-74.662,1976-09-28,4,285
Lake St. Francis ON,Atlantic,45.056,-74.662,1976-11-05,4,6852
Lake St. Francis ON,Atlantic,45.056,-74.662,1976-12-01,4,4132
Lake St. Francis ON,Atlantic,45.056,-74.662,1977-01-20,4,1214
Lake St. Francis ON,Atlantic,45.056,-74.662,1977-09-22,3,1149
Lake St. Francis ON,Atlantic,45.056,-74.662,1977-10-19,4,954
Lake St. Francis ON,Atlantic,45.056,-74.662,1977-11-15,4,3480
Lake St. Francis ON,Atlantic,45.056,-74.662,1977-12-08,4,7288
Lake St. Francis ON,Atlantic,45.056,-74.662,1978-11-07,4,15545
Lake St. Francis ON,Atlantic,45.056,-74.662,1979-11-06,4,11435
Lake St. Francis ON,Atlantic,45.056,-74.662,1981-11-05,2,2784
Lake St. Francis ON,Atlantic,45.056,-74.662,1982-11-06,1,171
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-09-11,4,693
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-09-26,4,372
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-10-23,4,4912
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-11-06,1,4
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-11-07,4,13158
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-11-18,4,16866
Lake St. Francis ON,Atlantic,45.056,-74.662,1985-12-05,4,5835
Lake St. Francis ON,Atlantic,45.056,-74.662,1986-01-02,4,354
Lake St. Francis ON,Atlantic,45.056,-74.662,1986-11-05,1,98
Lake St. Francis ON,Atlantic,45.056,-74.662,1986-11-06,4,23947
Lake St. Francis ON,Atlantic,45.056,-74.662,1987-01-13,4,705
Lake St. Francis ON,Atlantic,45.056,-74.662,1987-11-04,3,11155
Lake St. Francis ON,Atlantic,45.056,-74.662,1988-01-07,3,910
Lake St. Francis ON,Atlantic,45.056,-74.662,1988-11-03,3,14573
Lake St. Francis ON,Atlantic,45.056,-74.662,1988-12-14,1,5791
Lake St. Francis ON,Atlantic,45.056,-74.662,1989-01-03,1,61
Lake St. Francis ON,Atlantic,45.056,-74.662,1989-11-07,4,13475
Lake St. Francis ON,Atlantic,45.056,-74.662,1989-11-17,1,0
Lake St. Francis ON,Atlantic,45.056,-74.662,1989-12-15,1,3
Lake St. Francis ON,Atlantic,45.056,-74.662,1990-01-03,1,39
Lake St. Francis ON,Atlantic,45.056,-74.662,1990-11-07,4,12567
Lake St. Francis ON,Atlantic,45.056,-74.662,1990-11-15,1,2110
Lake St. Francis ON,Atlantic,45.056,-74.662,1990-12-13,1,191
Lake St. Francis ON,Atlantic,45.056,-74.662,1991-01-03,3,2369
Lake St. Francis ON,Atlantic,45.056,-74.662,1991-11-04,4,4885
Lake St. Francis ON,Atlantic,45.056,-74.662,1991-11-14,1,999
Lake St. Francis ON,Atlantic,45.056,-74.662,1991-12-11,1,248
Lake St. Francis ON,Atlantic,45.056,-74.662,1992-01-08,4,3372
Lake St. Francis ON,Atlantic,45.056,-74.662,1992-11-04,4,1113
Lake St. Francis ON,Atlantic,45.056,-74.662,1992-11-27,1,944
Lake St. Francis ON,Atlantic,45.056,-74.662,1992-12-16,1,259
Lake St. Francis ON,Atlantic,45.056,-74.662,1993-01-06,4,1458
Lake St. Francis ON,Atlantic,45.056,-74.662,1993-11-04,4,1512
Lake St. Francis ON,Atlantic,45.056,-74.662,1993-11-16,4,2688
Lake St. Francis ON,Atlantic,45.056,-74.662,1993-12-15,1,219
Lake St. Francis ON,Atlantic,45.056,-74.662,1994-01-06,2,143
Lake St. Francis ON,Atlantic,45.056,-74.662,1994-11-03,4,744
Lake St. Francis ON,Atlantic,45.056,-74.662,1994-11-15,4,249
Lake St. Francis ON,Atlantic,45.056,-74.662,1994-12-14,1,365
Lake St. Francis ON,Atlantic,45.056,-74.662,1995-01-05,4,203
Lake St. Francis ON,Atlantic,45.056,-74.662,1995-11-06,4,1471
Lake St. Francis ON,Atlantic,45.056,-74.662,1995-12-13,1,367
Lake St. Francis ON,Atlantic,45.056,-74.662,1996-01-05,3,500
Lake St. Francis ON,Atlantic,45.056,-74.662,1996-11-04,4,4380
Lake St. Francis ON,Atlantic,45.056,-74.662,1996-11-05,1,2
Lake St. Francis ON,Atlantic,45.056,-74.662,1996-12-09,1,1606
Lake St. Francis ON,Atlantic,45.056,-74.662,1997-01-07,4,1219
Lake St. Francis ON,Atlantic,45.056,-74.662,1997-11-05,4,750
Lake St. Francis ON,Atlantic,45.056,-74.662,1997-12-08,1,536
Lake St. Francis ON,Atlantic,45.056,-74.662,1998-01-22,3,487
Lake St. Francis ON,Atlantic,45.056,-74.662,1998-11-05,4,2219
Lake St. Francis ON,Atlantic,45.056,-74.662,1998-12-15,4,1931
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-01-07,4,2391
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-09-10,4,288
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-09-22,4,199
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-10-08,4,625
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-10-18,4,597
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-11-03,4,1484
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-11-17,4,611
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-12-01,4,2804
Lake St. Francis ON,Atlantic,45.056,-74.662,1999-12-21,4,2342
Lake St. Francis ON,Atlantic,45.056,-74.662,2000-01-05,4,3048
Lake St. Francis ON,Atlantic,45.056,-74.662,2000-11-08,4,1179
Lake St. Francis ON,Atlantic,45.056,-74.662,2001-01-09,4,2299
Lake St. Francis ON,Atlantic,45.056,-74.662,2001-11-05,4,325
Lake St. Francis ON,Atlantic,45.056,-74.662,2002-01-07,4,1439
Lake St. Francis ON,Atlantic,45.056,-74.662,2002-10-30,4,3564
Lake St. Francis ON,Atlantic,45.056,-74.662,2003-01-07,4,2284
Lake St. Francis ON,Atlantic,45.056,-74.662,2004-01-06,4,1308
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-09-08,4,376
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-09-24,4,602
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-10-06,4,1163
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-10-19,4,1410
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-11-03,4,3588
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-11-17,4,2009
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-12-04,4,1483
Lake St. Francis ON,Atlantic,45.056,-74.662,2009-12-16,4,1893
