# Great Lakes Migrant Waterfowl Survey (ECCC / Canadian Wildlife Service).
# Source: https://open.canada.ca/data/en/dataset/b188cade-c51a-406a-ac43-8103622cc389
# Aerial shoreline/nearshore counts, Ontario. Ducks only, TEAL EXCLUDED to match
# the rest of the anchor cloud; geese, swans, coot, cormorants and the SURV
# survey-placeholder rows are dropped.
# Sectors are grouped into clusters by coordinate box; lat/lng is the cluster
# centroid from the GLMWS_Sectors geodatabase layer (EPSG:4269).
# 'sectors' = how many sectors were flown that date (survey effort).
cluster,flyway,latitude,longitude,survey_date,sectors,ducks_teal_excluded
Long Point ON,Mississippi,42.608,-80.367,1996-12-13,4,308
Long Point ON,Mississippi,42.608,-80.367,1998-09-24,4,7449
Long Point ON,Mississippi,42.608,-80.367,1998-10-08,4,47844
Long Point ON,Mississippi,42.608,-80.367,1998-10-22,4,97875
Long Point ON,Mississippi,42.608,-80.367,1998-10-25,4,184178
Long Point ON,Mississippi,42.608,-80.367,1998-10-27,4,171711
Long Point ON,Mississippi,42.608,-80.367,1998-11-03,4,152451
Long Point ON,Mississippi,42.608,-80.367,1998-11-12,4,98290
Long Point ON,Mississippi,42.608,-80.367,1998-11-19,4,109838
Long Point ON,Mississippi,42.608,-80.367,1998-11-27,4,124856
Long Point ON,Mississippi,42.608,-80.367,1998-12-10,4,36618
Long Point ON,Mississippi,42.608,-80.367,1998-12-17,4,38571
Long Point ON,Mississippi,42.608,-80.367,1999-09-10,4,2817
Long Point ON,Mississippi,42.608,-80.367,1999-10-10,4,90713
Long Point ON,Mississippi,42.608,-80.367,1999-10-31,4,105745
Long Point ON,Mississippi,42.608,-80.367,1999-11-14,4,134716
Long Point ON,Mississippi,42.608,-80.367,1999-11-28,4,75725
Long Point ON,Mississippi,42.608,-80.367,1999-12-17,4,18739
Long Point ON,Mississippi,42.608,-80.367,2000-09-15,4,9033
Long Point ON,Mississippi,42.608,-80.367,2000-10-08,4,31308
Long Point ON,Mississippi,42.608,-80.367,2000-10-22,4,112253
Long Point ON,Mississippi,42.608,-80.367,2000-11-05,4,135224
Long Point ON,Mississippi,42.608,-80.367,2000-11-29,4,79141
Long Point ON,Mississippi,42.608,-80.367,2001-09-17,4,7627
Long Point ON,Mississippi,42.608,-80.367,2001-09-27,4,11877
Long Point ON,Mississippi,42.608,-80.367,2001-10-17,4,47181
Long Point ON,Mississippi,42.608,-80.367,2001-10-28,4,81946
Long Point ON,Mississippi,42.608,-80.367,2001-11-11,4,50338
Long Point ON,Mississippi,42.608,-80.367,2001-11-25,4,80819
Long Point ON,Mississippi,42.608,-80.367,2001-12-18,4,35471
Long Point ON,Mississippi,42.608,-80.367,2002-09-18,4,3042
Long Point ON,Mississippi,42.608,-80.367,2002-10-10,4,25270
Long Point ON,Mississippi,42.608,-80.367,2002-10-30,4,44636
Long Point ON,Mississippi,42.608,-80.367,2002-11-18,4,48067
Long Point ON,Mississippi,42.608,-80.367,2002-12-04,4,2201
Long Point ON,Mississippi,42.608,-80.367,2003-09-18,4,7111
Long Point ON,Mississippi,42.608,-80.367,2003-10-14,4,42300
Long Point ON,Mississippi,42.608,-80.367,2003-10-23,4,62683
Long Point ON,Mississippi,42.608,-80.367,2003-11-10,4,65290
Long Point ON,Mississippi,42.608,-80.367,2003-11-19,4,51060
Long Point ON,Mississippi,42.608,-80.367,2003-12-19,4,11039
Long Point ON,Mississippi,42.608,-80.367,2010-09-09,4,2784
Long Point ON,Mississippi,42.608,-80.367,2010-09-21,4,9235
Long Point ON,Mississippi,42.608,-80.367,2010-10-05,4,13319
Long Point ON,Mississippi,42.608,-80.367,2010-10-19,4,30842
Long Point ON,Mississippi,42.608,-80.367,2010-11-02,4,61842
Long Point ON,Mississippi,42.608,-80.367,2010-11-19,4,46405
Long Point ON,Mississippi,42.608,-80.367,2010-12-03,4,71961
Long Point ON,Mississippi,42.608,-80.367,2010-12-15,4,67
Long Point ON,Mississippi,42.608,-80.367,2010-12-28,4,2
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-09-04,3,12250
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-09-09,3,19025
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-09-17,3,20255
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-09-25,3,20119
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-10-01,3,23526
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-10-06,3,38807
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-10-13,3,53990
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-10-20,3,63734
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-10-27,3,95387
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-11-03,3,72033
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-11-10,3,65304
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-11-24,3,41532
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-12-01,3,34008
Lake St. Clair ON,Mississippi,42.428,-82.459,1968-12-16,3,6705
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-09-03,3,9049
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-09-21,3,12915
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-10-26,3,128881
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-11-02,3,85128
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-11-25,3,53990
Lake St. Clair ON,Mississippi,42.428,-82.459,1976-12-22,3,13399
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-09-20,3,26210
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-10-05,3,34465
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-10-26,3,75964
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-11-04,3,102513
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-11-25,3,69628
Lake St. Clair ON,Mississippi,42.428,-82.459,1982-12-21,3,39105
Lake St. Clair ON,Mississippi,42.428,-82.459,1989-09-19,3,20165
