# LDWF coastal-transect waterfowl population estimates, Louisiana Department of
# Wildlife & Fisheries. 74 monthly reports, 20 seasons 2004-05 to 2023-24.
# Source: wlf.louisiana.gov -> Resources -> Waterfowl -> Aerial Surveys,
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Louisiana_Aerial_Waterfowl_Survey_<Month>_<Year>.pdf
# Rebuild this file with: python3 extract_louisiana_pdfs.py <folder-of-PDFs>
#
# These are the 27-transect ZONE estimates flown coastwide below US-90, which is
# what the two Louisiana anchors describe. They are NOT the per-WMA counts in
# louisiana_wma_aerial.csv -- those cover a small subset of the same zone.
#
# ducks_teal_excluded = TOTAL DUCKS - BW TEAL - GW TEAL, all three read off the
# sheet, so teal exclusion is exact rather than estimated.
#
# LDWF flies four surveys a season: early September, early November, early
# December, early January. There is NO October flight and nothing after about
# January 11, so Oct1/Oct2 are interpolated and Jan2 is unmeasured.
#
# Validated against each sheet's own printed TOTALS column: 70 of 74 reconcile
# exactly. The other four are LDWF's own arithmetic -- in January 2018 the sheet
# prints TOTAL DUCKS of 2,136,000 for the southwest while its own dabbler and
# diver subtotals for that zone sum to 2,146,000.
zone,season,month,day,total_ducks,bw_teal,gw_teal,ducks_teal_excluded,source_file
SOUTHEAST,2021,1,3,919000,72000,68000,779000,Louisiana-Aerial-Waterfowl-Survey-January-2022.pdf
SOUTHEAST,2021,9,7,79000,66000,0,13000,Louisiana_Aerial_Waterfowl_Survey_September_2021.pdf
SOUTHEAST,2021,11,8,377000,36000,1000,340000,Louisiana_Aerial_Waterfowl_Survey_November_2021.pdf
SOUTHEAST,2021,12,13,297000,50000,20000,227000,Louisiana_Aerial_Waterfowl_Survey_December_2021.pdf
SOUTHEAST,2022,1,4,675000,65000,82000,528000,Louisiana_Aerial_Waterfowl_Survey_January_2023.pdf
SOUTHEAST,2022,9,6,18000,7000,0,11000,Louisiana-Aerial-Waterfowl-Survey-September-2022.pdf
SOUTHEAST,2022,11,7,116000,26000,4000,86000,Louisiana_Aerial-Waterfowl-Survey-November-2022.pdf
SOUTHEAST,2022,12,12,705000,56000,90000,559000,Louisiana-Aerial-Waterfowl-Survey-December-2022.pdf
SOUTHEAST,2023,11,6,72000,11000,46000,15000,Louisiana_Aerial_Waterfowl_Survey_November_2023.pdf
SOUTHWEST,2004,1,4,1400000,26000,446000,928000,Louisiana_Aerial_Waterfowl_Survey_January_2005.pdf
SOUTHWEST,2004,9,13,301000,251000,0,50000,Louisiana_Aerial_Waterfowl_Survey_September_2004.pdf
SOUTHWEST,2004,11,8,797000,25000,231000,541000,Louisiana_Aerial_Waterfowl_Survey_November_2004.pdf
SOUTHWEST,2004,12,13,842000,20000,221000,601000,Louisiana_Aerial_Waterfowl_Survey_December_2004.pdf
SOUTHWEST,2005,1,3,1972000,46000,864000,1062000,Louisiana_Aerial_Waterfowl_Survey_January_2006.pdf
SOUTHWEST,2005,11,7,677000,27000,210000,440000,Louisiana_Aerial_Waterfowl_Survey_November_2005.pdf
SOUTHWEST,2005,12,12,910000,40000,117000,753000,Louisiana_Aerial_Waterfowl_Survey_December_2005.pdf
SOUTHWEST,2006,1,3,3529000,422000,1150000,1957000,Louisiana_Aerial_Waterfowl_Survey_January_2007.pdf
SOUTHWEST,2006,9,11,335000,295000,0,40000,Louisiana_Aerial_Waterfowl_Survey_September_2006.pdf
SOUTHWEST,2006,11,7,1593000,89000,127000,1377000,Louisiana_Aerial_Waterfowl_Survey_November_2006.pdf
SOUTHWEST,2006,12,11,1737000,276000,347000,1114000,Louisiana_Aerial_Waterfowl_Survey_December_2006.pdf
SOUTHWEST,2007,1,11,1308000,127000,324000,857000,Louisiana_Aerial_Waterfowl_Survey_January_2008.pdf
SOUTHWEST,2007,9,10,245000,208000,17000,20000,Louisiana_Aerial_Waterfowl_Survey_September_2007.pdf
SOUTHWEST,2007,11,5,1378000,432000,152000,794000,Louisiana_Aerial_Waterfowl_Survey_November_2007.pdf
SOUTHWEST,2007,12,10,1065000,189000,227000,649000,Louisiana_Aerial_Waterfowl_Survey_December_2007.pdf
SOUTHWEST,2008,1,7,971000,37000,235000,699000,Louisiana_Aerial_Waterfowl_Survey_January_2009.pdf
SOUTHWEST,2008,9,8,473000,444000,0,29000,Louisiana_Aerial_Waterfowl_Survey_September_2008.pdf
SOUTHWEST,2008,11,3,684000,80000,164000,440000,Louisiana_Aerial_Waterfowl_Survey_November_2008.pdf
SOUTHWEST,2009,1,4,1404000,117000,301000,986000,Louisiana_Aerial_Waterfowl_Survey_January_2010.pdf
SOUTHWEST,2009,9,4,145000,99000,0,46000,Louisiana_Aerial_Waterfowl_Survey_September_2009.pdf
SOUTHWEST,2009,11,10,1167000,537000,136000,494000,Louisiana_Aerial_Waterfowl_Survey_November_2009.pdf
SOUTHWEST,2009,12,16,1536000,116000,352000,1068000,Louisiana_Aerial_Waterfowl_Survey_December_2009.pdf
SOUTHWEST,2010,1,3,1757000,57000,439000,1261000,Louisiana_Aerial_Waterfowl_Survey_January_2011.pdf
SOUTHWEST,2010,9,8,191000,155000,0,36000,Louisiana_Aerial_Waterfowl_Survey_September_2010.pdf
SOUTHWEST,2010,11,8,915000,292000,55000,568000,Louisiana_Aerial_Waterfowl_Survey_November_2010.pdf
SOUTHWEST,2010,12,10,1090000,54000,206000,830000,Louisiana_Aerial_Waterfowl_Survey_December_2010.pdf
SOUTHWEST,2011,1,3,1185000,16000,271000,898000,Louisiana_Aerial_Waterfowl_Survey_January_2012.pdf
SOUTHWEST,2011,9,6,152000,135000,0,17000,Louisiana_Aerial_Waterfowl_Survey_September_2011.pdf
SOUTHWEST,2011,11,4,1114000,145000,168000,801000,Louisiana_Aerial_Waterfowl_Survey_November_2011.pdf
SOUTHWEST,2011,12,12,1093000,30000,220000,843000,Louisiana_Aerial_Waterfowl_Survey_December_2011.pdf
SOUTHWEST,2012,1,11,1862000,35000,389000,1438000,Louisiana_Aerial_Waterfowl_Survey_January_2013.pdf
SOUTHWEST,2012,9,10,178000,164000,0,14000,Louisiana_Aerial_Waterfowl_Survey_September_2012.pdf
SOUTHWEST,2012,11,7,978000,24000,169000,785000,Louisiana_Aerial_Waterfowl_Survey_November_2012.pdf
SOUTHWEST,2012,12,2,1195000,26000,184000,985000,Louisiana_Aerial_Waterfowl_Survey_December_2012.pdf
SOUTHWEST,2013,1,6,1894000,17000,371000,1506000,Louisiana_Aerial_Waterfowl_Survey_January_2014.pdf
SOUTHWEST,2013,9,9,60000,43000,0,17000,Louisiana_Aerial_Waterfowl_Survey_September_2013.pdf
SOUTHWEST,2013,11,4,581000,68000,99000,414000,Louisiana_Aerial_Waterfowl_Survey_November_2013.pdf
SOUTHWEST,2013,12,10,1202000,25000,212000,965000,Louisiana_Aerial_Waterfowl_Survey_December_2013.pdf
SOUTHWEST,2014,1,5,1601000,15000,394000,1192000,Louisiana_Aerial_Waterfowl_Survey_January_2015.pdf
